"","member_casual","month_of_year","total_trips","average_time"
"1","casual","Ene",38650,12.3908128503665
"2","member","Ene",145134,9.99023511605367
"3","casual","Feb",41636,14.7281827424985
"4","member","Feb",142499,10.3772642848956
"5","casual","Mar",60015,14.2520300480435
"6","member","Mar",189187,10.253079492777
"7","casual","Abr",141800,19.3171207099201
"8","member","Abr",268893,11.5376825230358
"9","casual","May",226289,21.0422554786136
"10","member","May",359211,12.5429686173308
"11","casual","Jun",291576,20.6189854446182
"12","member","Jun",407439,12.8389032877723
"13","casual","Jul",320628,21.6116227632438
"14","member","Jul",424482,13.1464037736975
"15","casual","Ago",301834,20.5473534017595
"16","member","Ago",449019,12.9759615591619
"17","casual","Sep",254537,20.2628773681888
"18","member","Sep",395891,12.5076534955329
"19","casual","Oct",172130,17.9010122194465
"20","member","Oct",352058,11.3421271021631
"21","casual","Nov",95840,15.0104095367279
"22","member","Nov",258576,10.7322870903203
"23","casual","Dic",50314,13.5707066290363
"24","member","Dic",168510,10.493135323324
